date,gold_kzt,gold_kzt_variability
14-09-2023,28524.12,-0.17
13-09-2023,28410.12,-0.4
12-09-2023,28671.54,0.92
11-09-2023,28867.02,0.68
08-09-2023,28669.85,-0.68
07-09-2023,28533.76,-0.47
06-09-2023,28568.19,0.12
05-09-2023,28691.67,0.43
04-09-2023,28529.26,-0.57
01-09-2023,28734.06,0.72
31-08-2023,28756.66,0.08
28-08-2023,28374.22,-1.33
28-08-2023,28374.22,0.0
25-08-2023,28531.87,0.56
23-08-2023,27707.04,-2.89
22-08-2023,27487.85,-0.79
21-08-2023,28081.74,2.16
18-08-2023,28204.52,0.44
17-08-2023,27850.88,-1.25
16-08-2023,27497.4,-1.27
15-08-2023,27595.0,0.35
14-08-2023,27491.65,-0.37
11-08-2023,27472.88,-0.07
10-08-2023,27671.62,0.72
09-08-2023,27736.08,0.23
08-08-2023,27796.08,0.22
07-08-2023,27687.93,-0.39
04-08-2023,27712.01,0.09
03-08-2023,27810.52,0.36
02-08-2023,27997.9,0.67
01-08-2023,28045.49,0.17
31-07-2023,27943.59,-0.36
28-07-2023,28241.57,1.07
27-07-2023,28168.55,-0.26
26-07-2023,28090.02,-0.28
25-07-2023,28125.0,0.12
24-07-2023,28084.25,-0.14
21-07-2023,28285.14,0.72
20-07-2023,28154.01,-0.46
19-07-2023,28016.16,-0.49
18-07-2023,28055.29,0.14
17-07-2023,28084.9,0.11
14-07-2023,27935.35,-0.53
13-07-2023,27417.99,-1.85
12-07-2023,27459.22,0.15
11-07-2023,27535.04,0.28
10-07-2023,27335.92,-0.72
05-07-2023,27720.15,1.41
04-07-2023,27572.76,-0.53
03-07-2023,27499.24,-0.27
01-07-2023,27693.86,0.71
30-06-2023,27800.31,0.38
29-06-2023,27653.5,-0.53
27-06-2023,27934.6,1.02
26-06-2023,27586.8,-1.25
23-06-2023,27745.74,0.58
22-06-2023,27837.11,0.33
21-06-2023,28161.19,1.16
20-06-2023,28096.14,-0.23
19-06-2023,28478.79,1.36
16-06-2023,28103.4,-1.32
15-06-2023,28249.81,0.52
14-06-2023,28327.69,0.28
13-06-2023,28247.76,-0.28
12-06-2023,28131.81,-0.41
09-06-2023,27850.08,-1.0
08-06-2023,28189.66,1.22
07-06-2023,28240.0,0.18
06-06-2023,28023.21,-0.77
05-06-2023,28527.03,1.8
02-06-2023,28258.27,-0.94
01-06-2023,28224.71,-0.12
31-05-2023,28022.03,-0.72
30-05-2023,27914.34,-0.38
29-05-2023,27991.59,0.28
26-05-2023,28178.88,0.67
25-05-2023,28246.65,0.24
24-05-2023,27831.48,-1.47
23-05-2023,28352.83,1.87
22-05-2023,28330.46,-0.08
19-05-2023,28550.7,0.78
18-05-2023,28709.71,0.56
17-05-2023,29022.68,1.09
16-05-2023,29188.13,0.57
15-05-2023,28773.18,-1.42
12-05-2023,28931.77,0.55
11-05-2023,28982.84,0.18
10-05-2023,28998.66,0.05
05-05-2023,29148.92,0.52
04-05-2023,28695.14,-1.56
03-05-2023,28605.2,-0.31
02-05-2023,28901.47,1.04
28-04-2023,29300.52,1.38
27-04-2023,29174.51,-0.43
26-04-2023,29116.38,-0.2
25-04-2023,29140.14,0.08
24-04-2023,29224.97,0.29
21-04-2023,29210.53,-0.05
20-04-2023,28912.0,-1.02
19-04-2023,28989.82,0.27
18-04-2023,28974.72,-0.05
17-04-2023,29467.81,1.7
14-04-2023,29318.63,-0.51
13-04-2023,29256.26,-0.21
12-04-2023,28881.44,-1.28
11-04-2023,28814.91,-0.23
10-04-2023,28861.61,0.16
07-04-2023,29010.78,0.52
06-04-2023,29049.6,0.13
05-04-2023,28639.99,-1.41
04-04-2023,28454.19,-0.65
03-04-2023,28737.74,1.0
31-03-2023,28350.76,-1.35
30-03-2023,28339.84,-0.04
29-03-2023,28523.56,0.65
28-03-2023,28919.59,1.39
27-03-2023,29347.83,1.48
24-03-2023,29396.71,0.17
20-03-2023,28605.79,-2.69
17-03-2023,28766.18,0.56
16-03-2023,28482.02,-0.99
15-03-2023,28012.38,-1.65
14-03-2023,27632.92,-1.35
13-03-2023,26310.6,-4.79
